uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1719645113","29 Jun 2024, 07:11","J Mascis","82315599-2215-4c3e-a36f-87be58d06ec0","Several Shades of Why","05006b61-396e-4163-9178-ecbdc0d322f9","Is It Done","2f1c1313-ba07-3b58-a3d4-0d6f9c533ea2"
"1719644774","29 Jun 2024, 07:06","Travis","","The Boy With No Name","1bdb407e-8e14-47ac-a1fd-e802f8e9886f","Perfect Heaven Space","106f0a1d-3133-375a-aa38-ee3aa7328e61"
"1719644354","29 Jun 2024, 06:59","Mercury Rev","7b1cf87e-c54f-4abc-893d-90245a31900d","All Is Dream","1adeba2a-fd1c-4fda-ac0d-676207ebe3eb","Little Rhymes","006fd367-8d21-3c30-a7f9-8d025894bf0d"
"1719643756","29 Jun 2024, 06:49","Michelle Gurevich","7413ccd4-a9e9-4965-8506-49e580dda6d5","New Decadence","0dab4d8f-b37d-401a-b488-e597ef14cf98","My Familiar Unfamiliar","2846b9e4-db19-4622-94c9-3456c8b40c7c"
"1719643578","29 Jun 2024, 06:46","Mark Lanegan","a9126556-f555-4920-9617-6e013f8228a7","Scraps at Midnight","11bb2530-518e-4467-af3b-ac3113375f35","Bell Black Ocean",""
"1719643376","29 Jun 2024, 06:42","Placebo","","Without You I’m Nothing","55310c12-85c2-42b9-a047-2910a6e2ac04","You Don’t Care About Us",""
"1719643169","29 Jun 2024, 06:39","Led Er Est","85360045-c4c7-408f-92c4-0b0b8bd73c95","Todo Muere Volume 2","","The Gold Cane","ec0df5a8-7c9f-465d-a5f0-ffd5b9fce0a7"
"1719642868","29 Jun 2024, 06:34","Alice in Chains","4bd95eea-b9f6-4d70-a36c-cfea77431553","Nothing Safe: The Best Of The Box","154145cd-b9e6-4825-92d8-4af1bb455840","Iron Gland","06682475-6e8c-48f2-9f6d-caa7cbe3e276"
"1719642766","29 Jun 2024, 06:32","Alice in Chains","4bd95eea-b9f6-4d70-a36c-cfea77431553","Nothing Safe: The Best Of The Box","154145cd-b9e6-4825-92d8-4af1bb455840","Them Bones","fba87631-6ed8-457a-87d3-2388c6a45e5c"
"1719642621","29 Jun 2024, 06:30","Alice in Chains","4bd95eea-b9f6-4d70-a36c-cfea77431553","Nothing Safe: The Best Of The Box","154145cd-b9e6-4825-92d8-4af1bb455840","Man in the Box","30d18bab-d18f-4b3f-9aeb-4aaed5cab9a1"
"1719642243","29 Jun 2024, 06:24","The Duke Spirit","c9b00c4c-44ff-47be-9fc8-5764b45cc7a3","Bruiser","277826ef-7681-46f8-87ce-b9659fd1c149","Villain",""
"1719642006","29 Jun 2024, 06:20","The Duke Spirit","c9b00c4c-44ff-47be-9fc8-5764b45cc7a3","Bruiser","277826ef-7681-46f8-87ce-b9659fd1c149","Procession",""
"1719641793","29 Jun 2024, 06:16","The Duke Spirit","c9b00c4c-44ff-47be-9fc8-5764b45cc7a3","Bruiser","277826ef-7681-46f8-87ce-b9659fd1c149","Cherry Tree",""
"1719589109","28 Jun 2024, 15:38","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Caravan Holiday","1cb57513-497a-329d-b287-8f9a65d47ef5"
"1719588865","28 Jun 2024, 15:34","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Maybe","1f2d6464-be13-4ecc-85b5-59183885bc2e"
"1719588630","28 Jun 2024, 15:30","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Everyday I Think of Money","0519887e-caee-32b0-8076-fad2011fc899"
"1719588420","28 Jun 2024, 15:27","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Watch Them Fly Sundays","32e045be-1672-46eb-a5d6-1d26e56675f8"
"1719588182","28 Jun 2024, 15:23","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Nice to Be Out","1166487c-af52-41d8-a49d-40dac23acfb0"
"1719576962","28 Jun 2024, 12:16","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Have a Nice Day","a773770d-13d3-402c-bd08-650bfb7bd5d3"
"1719576736","28 Jun 2024, 12:12","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Step on My Old Size Nines","0dae3cda-a896-32c9-a82f-f984929aa5d4"
"1719576465","28 Jun 2024, 12:07","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Mr Writer","96bdde7b-f020-4957-906d-272867e7b55a"
"1719576162","28 Jun 2024, 12:02","Stereophonics","0bfba3d3-6a04-4779-bb0a-df07df5b0558","Just Enough Education to Perform","14218634-0cc9-4198-93cd-420ec8d93982","Lying in the Sun","209cd9d9-8e1a-3de5-ab9d-3339cc192d36"
"1719575996","28 Jun 2024, 11:59","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","Powaqqatsi","8ad816cd-70c3-4ba9-841b-00798b5e938c","Video Dream",""
"1719575723","28 Jun 2024, 11:55","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","Powaqqatsi","8ad816cd-70c3-4ba9-841b-00798b5e938c","That Place",""
"1719575381","28 Jun 2024, 11:49","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","Powaqqatsi","8ad816cd-70c3-4ba9-841b-00798b5e938c","Anthem, part 1","18be356a-79bb-3305-807f-7c2cf54d2548"
"1719575138","28 Jun 2024, 11:45","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","Powaqqatsi","8ad816cd-70c3-4ba9-841b-00798b5e938c","The Title",""
"1719574948","28 Jun 2024, 11:42","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","Powaqqatsi","8ad816cd-70c3-4ba9-841b-00798b5e938c","Serra Pelada","0571a462-07eb-3ba6-a18b-479126e860e6"
"1719574772","28 Jun 2024, 11:39","Franz Schubert","","Masters of Classical Music, Vol. 9: Schubert","7d680435-8ec3-45b8-b05d-c7dbefa62267","Rosamunde, Fürstin von Cypern, op. 26: Entr’acte no. 1",""
"1719574479","28 Jun 2024, 11:34","Michael Nyman","c3161cf7-cab1-4409-9b1f-876561dd7716","Gattaca","80cc3313-0731-3fa3-bb13-40c3b3f7f4f6","The Morrow","e3c0c77f-1565-45bb-9a7b-444765374b86"
"1719574264","28 Jun 2024, 11:31","Clint Mansell","fc015f11-be38-4b7d-b3e8-5d809242ecec","Requiem for a Dream","2cb44e6c-db86-4487-b047-34bf449c9b6d","Lux Aeterna","3e0ccbd9-a22c-3b09-ab48-c2919c816a31"
"1719574011","28 Jun 2024, 11:26","Jonny Greenwood","e9fcfbbf-1743-4f73-8744-ada8da7394ea","The Power Of The Dog: Music From The Netflix Film","61e482fb-ca49-41f9-aa1d-91a0d241170d","West",""
"1719573874","28 Jun 2024, 11:24","Giovanni Battista Pergolesi","7640225e-5758-40e2-a37b-971c2a7994b0","Stabat Mater","","Stabat Mater. III. O quam tristis","3fe14c74-b228-41fe-8966-5dd51915fc82"
"1719573704","28 Jun 2024, 11:21","Antonio Maria Bononcini","a5e097f4-bbb2-44b1-9c6c-7f2e1fc83de6","Bononcini: Stabat Mater / Lotti: Crucifixus / Caldara: Crucifixus","","Stabat Mater, Ed. Smith: Stabat Mater Dolorosa","06c730bc-095a-4c0f-b9d0-0bc4f9848133"
"1719573464","28 Jun 2024, 11:17","Pyotr Ilyich Tchaikovsky","","Masters of Classical Music, Vol. 6: Tchaikovsky","","Violin Concerto in D major, Op. 35: II. Canzonetta: Andante",""
"1719573226","28 Jun 2024, 11:13","Carter Burwell","","In Bruges","5070043f-a8c0-449c-ab49-8478f78a62e4","I Didn’t Want to Die",""
"1719572792","28 Jun 2024, 11:06","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","Glassworks","2bfb301e-a228-489a-8035-561bf8ad55ed","Closing","0dfe7edd-eb6c-4731-984d-f91325fe5d98"
"1719572557","28 Jun 2024, 11:02","Michael Nyman","c3161cf7-cab1-4409-9b1f-876561dd7716","Gattaca","80cc3313-0731-3fa3-bb13-40c3b3f7f4f6","The One Moment",""
"1719572411","28 Jun 2024, 11:00","Johann Sebastian Bach","24f1766e-9635-4d58-a4d4-9413f9f98a4c","Masters Of Classical Music, Vol. 2: J.S. Bach","7b6b7a4f-abb4-3d77-945b-4e863e19ac01","Oboe Concerto in D minor: Adagio","2ce9007b-9566-3460-b0ba-5c20c622037e"
"1719572253","28 Jun 2024, 10:57","Carl Orff","0b3ee6cd-a2df-4144-adf9-7807ee7ecc4f","Carmina Burana","046b6294-c2f8-40b7-8ecc-503c182dc44f","Carmina Burana: Uf Dem Anger: Chramer, gip die varwe mir","a095437d-449c-4aba-97cf-0c19fb429578"
"1719572041","28 Jun 2024, 10:54","Philip Glass","5ae54dee-4dba-49c0-802a-a3b3b3adfe9b","The Hours","804ece5f-aabc-4d96-884e-9b1360aa22db","Dead Things","befd2c4e-b530-43a5-a5e2-54ecec2a9ebe"
"1719571794","28 Jun 2024, 10:49","Vladimir Cosma","5dfa70d0-d170-4b5d-a901-e6c2edc96dd1","Diva","5005ddb9-1a10-4953-bd7a-bebf142845f9","Gorodish","0e9d6fdc-df89-38ac-bd3b-f66c29e78c9e"
